127.0.0.1 - - [31/Dec/2020:01:37:40 +0800] "GET / HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:37:42 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 15750
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:37:42 +0800] "GET /CEA101G3/css/front-end/room-booking.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:37:42 +0800] "GET /CEA101G3/js/front-end/room-booking.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:37:42 +0800] "GET /CEA101G3/img/footer.png HTTP/1.1" 200 4273977
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:40:27 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 15716
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:40:47 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 15722
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:40:59 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 15728
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:41:30 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 15780
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:41:30 +0800] "GET /CEA101G3/img/ HTTP/1.1" 200 5859
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:42:39 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 15786
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:42:39 +0800] "GET /CEA101G3/img/ HTTP/1.1" 200 5859
0:0:0:0:0:0:0:1 - - [31/Dec/2020:01:42:53 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 15744
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:45:37 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 17845
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:45:37 +0800] "GET /CEA101G3/css/front-end/room-booking.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:45:37 +0800] "GET /CEA101G3/js/front-end/room-booking.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:45:37 +0800] "GET /CEA101G3/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:45:37 +0800] "GET /CEA101G3/css/front-end/img/brandon-griggs-wR11KBaB86U-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:46:15 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 17849
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:46:49 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 17890
