127.0.0.1 - - [04/Jan/2021:10:37:53 +0800] "GET / HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 19138
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "GET /CEA101G3/css/front-end/room-booking.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "GET /CEA101G3/css/front-end/available.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "GET /CEA101G3/js/front-end/room-booking.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "GET /CEA101G3/img/footer.png HTTP/1.1" 200 4273977
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "GET /CEA101G3/css/front-end/img/brandon-griggs-wR11KBaB86U-unsplash.jpg HTTP/1.1" 200 374117
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:56 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2021:10:37:57 +0800] "POST /CEA101G3/RoomRsv.do HTTP/1.1" 200 32
